financial_year,wpm_material_type,wpm_material_name,waste_stream,recycled,waste_to_energy,export_interstate,export_international,disposal,recovery_rate,,,,,,,
2010-2011,Plastic,PP,(5),Commercial,and,Industrial,0,0,0,0,46402.940985,0,,,,
2010-2011,Plastic,PP,(5),Construction,and,Demolition,0,0,0,0,3714.296879,0,,,,
2010-2011,Plastic,PP,(5),Municipal,Solid,Waste,0,0,0,0,40482.418349,0,,,,
2010-2011,Plastic,PS,(6),Commercial,and,Industrial,0,0,0,0,12084.099215,0,,,,
2010-2011,Plastic,PS,(6),Construction,and,Demolition,0,0,0,0,967.264812,0,,,,
2010-2011,Plastic,PS,(6),Municipal,Solid,Waste,0,0,0,0,10542.296445,0,,,,
2010-2011,Plastic,PVC,(3),Commercial,and,Industrial,0,0,0,0,30451.93002,0,,,,
2010-2011,Plastic,PVC,(3),Construction,and,Demolition,0,0,0,0,2437.507326,0,,,,
2010-2011,Plastic,PVC,(3),Municipal,Solid,Waste,0,0,0,0,26566.587042,0,,,,
2010-2011,Textiles,Clothing,Commercial,and,Industrial,0,0,0,0,40551.871434,0,,,,,
2010-2011,Textiles,Clothing,Construction,and,Demolition,0,0,0,0,3916.036231,0,,,,,
2010-2011,Textiles,Clothing,Municipal,Solid,Waste,500,0,0,0,68949.357834,0.007199,,,,,
2010-2011,Textiles,Other,textiles,Commercial,and,Industrial,0,0,0,0,62286.864242,0,,,,
2010-2011,Textiles,Other,textiles,Construction,and,Demolition,0,0,0,0,6980.216213,0,,,,
2010-2011,Textiles,Other,textiles,Municipal,Solid,Waste,678.4,0,0,0,22577.629155,0.02917,,,,
2010-2011,Tyres,and,rubber,Offroad,tyres,Commercial,and,Industrial,9338,0,0,0,0,1,,
2010-2011,Tyres,and,rubber,Offroad,tyres,Construction,and,Demolition,5,0,0,0,0,1,,
2010-2011,Tyres,and,rubber,Offroad,tyres,Municipal,Solid,Waste,977,0,0,0,0,1,,
2010-2011,Tyres,and,rubber,Other,rubber,Commercial,and,Industrial,0,0,0,0,8720.768384,0,,
2010-2011,Tyres,and,rubber,Other,rubber,Construction,and,Demolition,0,0,0,0,189.596291,0,,
2010-2011,Tyres,and,rubber,Other,rubber,Municipal,Solid,Waste,0,0,0,0,2708.811942,0,,
2010-2011,Tyres,and,rubber,Passenger,tyres,Commercial,and,Industrial,12698,0,0,0,949.270992,0.930442,,
2010-2011,Tyres,and,rubber,Passenger,tyres,Construction,and,Demolition,135,0,0,0,135.979895,0.498191,,
2010-2011,Tyres,and,rubber,Passenger,tyres,Municipal,Solid,Waste,663,0,0,0,0,1,,
2010-2011,Tyres,and,rubber,Truck,tyres,Commercial,and,Industrial,13166,0,0,0,0,1,,
2010-2011,Tyres,and,rubber,Truck,tyres,Construction,and,Demolition,140,0,0,0,0,1,,
2010-2011,Tyres,and,rubber,Truck,tyres,Municipal,Solid,Waste,700,0,0,0,0,1,,
2011-2012,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,4790,0,0,0,3032.223528,0.612357,,,,,
2011-2012,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,201431,0,0,0,974.385321,0.995185,,,,,
2011-2012,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,22695,0,0,0,771.713704,0.967114,,,,,
2011-2012,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,6128,0,0,0,25967.485609,0.19093,,,,,
2011-2012,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,341469,0,0,0,27546.758799,0.92535,,,,,
2011-2012,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,2625,0,0,0,50688.939644,0.049236,,,,,
2011-2012,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,7414,0,0,0,30682.532381,0.19461,,,,,
2011-2012,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,1798046,0,0,0,25057.921165,0.986255,,,,,
2011-2012,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,23413,0,0,0,411.541208,0.982726,,,,,
2011-2012,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,0,0,0,0,21418.417795,0,,,,,
2011-2012,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,34000,0,0,0,14894.305336,0.695377,,,,,
2011-2012,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,58,0,0,0,4570.976858,0.012529,,,,,
2011-2012,"Aggregate, masonry and soils",Rubble,Commercial,and,Industrial,0,0,0,0,13548.594308,0,,,,,
2011-2012,"Aggregate, masonry and soils",Rubble,Construction,and,Demolition,243419,0,0,0,9481.413214,0.962509,,,,,
2011-2012,"Aggregate, masonry and soils",Rubble,Municipal,Solid,Waste,0,0,0,0,3087.652571,0,,,,,
2011-2012,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,44041,0,0,0,103049.580847,0.299414,,
2011-2012,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,747359,0,0,0,706416.334603,0.514081,,
2011-2012,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,25121,0,0,0,16089.642379,0.609575,,
2011-2012,Glass,Container,glass,Commercial,and,Industrial,42359,0,0,0,27038.525757,0.610381,,,,
2011-2012,Glass,Container,glass,Construction,and,Demolition,0,0,0,0,655.227069,0,,,,
2011-2012,Glass,Container,glass,Municipal,Solid,Waste,136249,0,0,0,40455.063776,0.771057,,,,
2011-2012,Glass,Other,glass,Commercial,and,Industrial,16420,0,0,0,13270.438328,0.553039,,,,
2011-2012,Glass,Other,glass,Construction,and,Demolition,0,0,0,0,3196.742003,0,,,,
2011-2012,Glass,Other,glass,Municipal,Solid,Waste,0,0,0,0,40060.007589,0,,,,
2011-2012,Metals,Aluminium,Commercial,and,Industrial,4898,0,0,0,16784.581912,0.225895,,,,,
2011-2012,Metals,Aluminium,Construction,and,Demolition,0,0,0,0,3776.331355,0,,,,,
2011-2012,Metals,Aluminium,Municipal,Solid,Waste,0,0,0,0,21839.149856,0,,,,,
2011-2012,Metals,Ferrous,Commercial,and,Industrial,686444,0,0,0,54553.607634,0.926378,,,,,
2011-2012,Metals,Ferrous,Construction,and,Demolition,112735,0,0,0,16170.762776,0.874553,,,,,
2011-2012,Metals,Ferrous,Municipal,Solid,Waste,149734.2,0,0,0,36685.362639,0.80321,,,,,
2011-2012,Metals,Other,metals,Commercial,and,Industrial,78032,0,0,0,0,1,,,,
2011-2012,Metals,Other,metals,Construction,and,Demolition,8321,0,0,0,0,1,,,,
2011-2012,Metals,Other,metals,Municipal,Solid,Waste,13271,0,0,0,0,1,,,,
2011-2012,Organics,Food,organics,Commercial,and,Industrial,30696,0,0,0,238225.137822,0.114144,,,,
2011-2012,Organics,Food,organics,Construction,and,Demolition,0,0,0,0,2916.610886,0,,,,
2011-2012,Organics,Food,organics,Municipal,Solid,Waste,0,0,0,0,663670.648843,0,,,,
2011-2012,Organics,Garden,organics,Commercial,and,Industrial,39646,0,0,0,60044.690482,0.39769,,,,
2011-2012,Organics,Garden,organics,Construction,and,Demolition,3600,0,0,0,21024.474502,0.146196,,,,
2011-2012,Organics,Garden,organics,Municipal,Solid,Waste,456732,0,0,0,105163.309417,0.812841,,,,
2011-2012,Organics,Other,organics,Commercial,and,Industrial,114470,0,0,0,29640.014042,0.794323,,,,
2011-2012,Organics,Other,organics,Construction,and,Demolition,11,0,0,0,510.610847,0.021088,,,,
2011-2012,Organics,Other,organics,Municipal,Solid,Waste,70331,0,0,0,104894.948354,0.401373,,,,
2011-2012,Organics,Wood,/timber,Commercial,and,Industrial,76350,0,0,0,231548.180992,0.247971,,,,
2011-2012,Organics,Wood,/timber,Construction,and,Demolition,15795,0,0,0,114657.207087,0.121078,,,,
2011-2012,Organics,Wood,/timber,Municipal,Solid,Waste,20391,0,0,0,29351.520951,0.40993,,,,
2011-2012,Paper,and,cardboard,Cardboard,Commercial,and,Industrial,254891,0,0,0,77229.930281,0.767464,,,
2011-2012,Paper,and,cardboard,Cardboard,Construction,and,Demolition,0,0,0,0,4198.508209,0,,,
2011-2012,Paper,and,cardboard,Cardboard,Municipal,Solid,Waste,22771.2,0,0,0,38551.665647,0.371332,,,
2011-2012,Paper,and,cardboard,Liquidpaperboard,Commercial,and,Industrial,0,0,0,0,27896.976538,0,,,
2011-2012,Paper,and,cardboard,Liquidpaperboard,Construction,and,Demolition,0,0,0,0,521.276327,0,,,
2011-2012,Paper,and,cardboard,Liquidpaperboard,Municipal,Solid,Waste,0,0,0,0,29271.233225,0,,,
2011-2012,Paper,and,cardboard,Newsprint,and,magazines,Commercial,and,Industrial,0,0,0,0,0,,
2011-2012,Paper,and,cardboard,Newsprint,and,magazines,Construction,and,Demolition,0,0,0,0,0,,
2011-2012,Paper,and,cardboard,Newsprint,and,magazines,Municipal,Solid,Waste,9381,0,0,0,0,1,
2011-2012,Paper,and,cardboard,Other,paper,Commercial,and,Industrial,423298,0,0,0,83281.214397,0.8356,,
2011-2012,Paper,and,cardboard,Other,paper,Construction,and,Demolition,0,0,0,0,1590.010308,0,,
2011-2012,Paper,and,cardboard,Other,paper,Municipal,Solid,Waste,259023,0,0,0,131715.839461,0.662905,,
2011-2012,Paper,and,cardboard,Printing,and,writing,paper,Commercial,and,Industrial,49936,0,0,0,80069.282691,0.384107
2011-2012,Paper,and,cardboard,Printing,and,writing,paper,Construction,and,Demolition,0,0,0,0,1624.663153,0
2011-2012,Paper,and,cardboard,Printing,and,writing,paper,Municipal,Solid,Waste,0,0,0,0,87931.046635,0
2011-2012,Plastic,HDPE,(2),Commercial,and,Industrial,9891.65993808905,0,117.312672846948,0,53088.309823,0.158627,,,,
2011-2012,Plastic,HDPE,(2),Construction,and,Demolition,1535.96165984895,0,18.2161304407038,0,4249.423404,0.267795,,,,
2011-2012,Plastic,HDPE,(2),Municipal,Solid,Waste,32418.1372870974,0,384.471196712348,0,74930.349871,0.30448,,,,
2011-2012,Plastic,LDPE,(4),Commercial,and,Industrial,17572.0027000358,0,76.0460625736786,0,39760.700662,0.30741,,,,
2011-2012,Plastic,LDPE,(4),Construction,and,Demolition,77.5359834687348,0,0.335551180547173,0,3182.62255,0.023883,,,,
2011-2012,Plastic,LDPE,(4),Municipal,Solid,Waste,19321.7434164955,0,83.6183862457742,0,35740.089703,0.351894,,,,
2011-2012,Plastic,Other,plastics,(7),Commercial,and,Industrial,7020.78035232053,0,0,0,29830.297159,0.190517,,,
2011-2012,Plastic,Other,plastics,(7),Construction,and,Demolition,18.6072625620773,0,0,0,2278.495635,0.0081,,,
2011-2012,Plastic,Other,plastics,(7),Municipal,Solid,Waste,2307.6123851174,0,0,0,88365.327779,0.025449,,,
2011-2012,Plastic,PET,(1),Commercial,and,Industrial,2175.8436405387,0,0,0,21990.555115,0.090035,,,,
2011-2012,Plastic,PET,(1),Construction,and,Demolition,65.0787456323514,0,0,0,1760.22141,0.035653,,,,
2011-2012,Plastic,PET,(1),Municipal,Solid,Waste,25874.6048138289,0,0,0,50000.578401,0.341015,,,,
2011-2012,Plastic,PP,(5),Commercial,and,Industrial,9230.54723606483,0,82.0249610021769,0,42648.349314,0.179222,,,,
2011-2012,Plastic,PP,(5),Construction,and,Demolition,32.2789865964329,0,0.286839181800337,0,3413.762734,0.009449,,,,
2011-2012,Plastic,PP,(5),Municipal,Solid,Waste,10993.1846573387,0,97.6881998160228,0,38335.738676,0.22439,,,,
2011-2012,Plastic,PS,(6),Commercial,and,Industrial,2536.01481501681,0,392.186059599135,0,11106.340967,0.208642,,,,
2011-2012,Plastic,PS,(6),Construction,and,Demolition,802.862622218814,0,123.053081695366,0,889.000711,0.510169,,,,
2011-2012,Plastic,PS,(6),Municipal,Solid,Waste,2684.23828276438,0,286.760858705499,0,9983.265281,0.229345,,,,
2011-2012,Plastic,PVC,(3),Commercial,and,Industrial,2874.41017784826,0,0,0,27987.979237,0.093136,,,,
2011-2012,Plastic,PVC,(3),Construction,and,Demolition,318.445824005329,0,0,0,2240.281794,0.124454,,,,
2011-2012,Plastic,PVC,(3),Municipal,Solid,Waste,1704.03321311105,0,0,0,25157.828506,0.063436,,,,
2011-2012,Textiles,Clothing,Commercial,and,Industrial,0,0,0,0,37270.706157,0,,,,,
2011-2012,Textiles,Clothing,Construction,and,Demolition,0,0,0,0,3599.178793,0,,,,,
2011-2012,Textiles,Clothing,Municipal,Solid,Waste,0,0,0,0,65293.148768,0,,,,,
2011-2012,Textiles,Other,textiles,Commercial,and,Industrial,0,0,0,0,57247.05994,0,,,,
2011-2012,Textiles,Other,textiles,Construction,and,Demolition,0,0,0,0,6415.427406,0,,,,
2011-2012,Textiles,Other,textiles,Municipal,Solid,Waste,1184,0,0,0,21380.39491,0.052472,,,,
2011-2012,Tyres,and,rubber,Other,rubber,Commercial,and,Industrial,8783,0,0,0,8015.146636,0.522855,,
2011-2012,Tyres,and,rubber,Other,rubber,Construction,and,Demolition,0,0,0,0,174.255525,0,,
2011-2012,Tyres,and,rubber,Other,rubber,Municipal,Solid,Waste,0,0,0,0,2565.170535,0,,
2011-2012,Tyres,and,rubber,Passenger,tyres,Commercial,and,Industrial,25247,0,0,0,872.462823,0.966597,,
2011-2012,Tyres,and,rubber,Passenger,tyres,Construction,and,Demolition,268,0,0,0,124.977382,0.681973,,
2011-2012,Tyres,and,rubber,Passenger,tyres,Municipal,Solid,Waste,1343,0,0,0,0,1,,
2012-2013,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,6290,0,0,0,2802.442114,0.691783,,,,,
2012-2013,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,249150,0,0,0,900.546557,0.996398,,,,,
2012-2013,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,2395,0,0,0,724.487619,0.767754,,,,,
2012-2013,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,6208,0,0,0,23999.673705,0.20551,,,,,
2012-2013,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,361430,0,0,0,25459.269825,0.934194,,,,,
2012-2013,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,2083,0,0,0,47586.960068,0.041936,,,,,
2012-2013,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,8436,0,0,0,28357.414987,0.22928,,,,,
2012-2013,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,1958709,0,0,0,23159.035909,0.988314,,,,,
2012-2013,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,17528,0,0,0,386.356376,0.978433,,,,,
2012-2013,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,0,0,0,0,19795.333522,0,,,,,
2012-2013,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,38838,0,0,0,13765.617261,0.738314,,,,,
2012-2013,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,0,0,0,0,4291.249624,0,,,,,
2012-2013,"Aggregate, masonry and soils",Rubble,Commercial,and,Industrial,0,0,0,0,12521.883999,0,,,,,
2012-2013,"Aggregate, masonry and soils",Rubble,Construction,and,Demolition,494574,0,0,0,8762.913239,0.98259,,,,,
2012-2013,"Aggregate, masonry and soils",Rubble,Municipal,Solid,Waste,0,0,0,0,2898.699413,0,,,,,
2012-2013,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,39027,0,0,0,95240.500101,0.290666,,
2012-2013,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,800006,0,0,0,652884.217811,0.55063,,
2012-2013,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,546,0,0,0,15105.014521,0.034885,,
2012-2013,Glass,Container,glass,Commercial,and,Industrial,30207,0,0,0,24989.550602,0.547262,,,,
2012-2013,Glass,Container,glass,Construction,and,Demolition,3195,0,0,0,605.574066,0.840662,,,,
2012-2013,Glass,Container,glass,Municipal,Solid,Waste,110078,0,0,0,37979.360349,0.743482,,,,
2012-2013,Glass,Other,glass,Commercial,and,Industrial,18214,0,0,0,12264.806635,0.597595,,,,
2012-2013,Glass,Other,glass,Construction,and,Demolition,0,0,0,0,2954.493405,0,,,,
2012-2013,Glass,Other,glass,Municipal,Solid,Waste,5300,0,0,0,37608.480169,0.123518,,,,
2012-2013,Metals,Aluminium,Commercial,and,Industrial,26300,0,0,0,15512.648981,0.628996,,,,,
2012-2013,Metals,Aluminium,Construction,and,Demolition,0,0,0,0,3490.161569,0,,,,,
2012-2013,Metals,Aluminium,Municipal,Solid,Waste,2500,0,0,0,20502.672958,0.108683,,,,,
2012-2013,Metals,Ferrous,Commercial,and,Industrial,605968,0,0,0,50419.543978,0.923186,,,,,
2012-2013,Metals,Ferrous,Construction,and,Demolition,98946,0,0,0,14945.344961,0.868775,,,,,
2012-2013,Metals,Ferrous,Municipal,Solid,Waste,191190.44,0,0,0,34440.351271,0.847359,,,,,
2012-2013,Metals,Other,metals,Commercial,and,Industrial,42961,0,0,0,0,1,,,,
2012-2013,Metals,Other,metals,Construction,and,Demolition,4351,0,0,0,0,1,,,,
2012-2013,Metals,Other,metals,Municipal,Solid,Waste,7895,0,0,0,0,1,,,,
2012-2013,Organics,Food,organics,Commercial,and,Industrial,42366,0,0,0,220172.475,0.16137,,,,
2012-2013,Organics,Food,organics,Construction,and,Demolition,0,0,0,0,2695.59058,0,,,,
2012-2013,Organics,Food,organics,Municipal,Solid,Waste,0,0,0,0,623056.408094,0,,,,
2012-2013,Organics,Garden,organics,Commercial,and,Industrial,19087,0,0,0,55494.513446,0.255921,,,,
2012-2013,Organics,Garden,organics,Construction,and,Demolition,4652,0,0,0,19431.243188,0.193163,,,,
2012-2013,Organics,Garden,organics,Municipal,Solid,Waste,378574,0,0,0,98727.695647,0.793154,,,,
2012-2013,Organics,Other,organics,Commercial,and,Industrial,114664,0,0,0,27393.89852,0.807163,,,,
2012-2013,Organics,Other,organics,Construction,and,Demolition,0,0,0,0,471.916839,0,,,,
2012-2013,Organics,Other,organics,Municipal,Solid,Waste,12509,0,0,0,98475.757309,0.112709,,,,
2012-2013,Organics,Wood,/timber,Commercial,and,Industrial,87579,0,0,0,214001.496888,0.2904,,,,
2012-2013,Organics,Wood,/timber,Construction,and,Demolition,23247,0,0,0,105968.50228,0.179908,,,,
2012-2013,Organics,Wood,/timber,Municipal,Solid,Waste,18603.7,0,0,0,27555.314142,0.403035,,,,
2012-2013,Paper,and,cardboard,Cardboard,Commercial,and,Industrial,485366,0,0,0,71377.458522,0.871794,,,
2012-2013,Paper,and,cardboard,Cardboard,Construction,and,Demolition,0,0,0,0,3880.345929,0,,,
2012-2013,Paper,and,cardboard,Cardboard,Municipal,Solid,Waste,149927.14,0,0,0,36192.443295,0.805541,,,
2012-2013,Paper,and,cardboard,Liquidpaperboard,Commercial,and,Industrial,0,0,0,0,25782.94812,0,,,
2012-2013,Paper,and,cardboard,Liquidpaperboard,Construction,and,Demolition,0,0,0,0,481.77409,0,,,
2012-2013,Paper,and,cardboard,Liquidpaperboard,Municipal,Solid,Waste,0,0,0,0,27479.939734,0,,,
2012-2013,Paper,and,cardboard,Newsprint,and,magazines,Commercial,and,Industrial,0,0,0,0,0,,
2012-2013,Paper,and,cardboard,Newsprint,and,magazines,Construction,and,Demolition,0,0,0,0,0,,
2012-2013,Paper,and,cardboard,Newsprint,and,magazines,Municipal,Solid,Waste,31040,0,0,0,0,1,
2012-2013,Paper,and,cardboard,Other,paper,Commercial,and,Industrial,33641,0,0,0,76970.177297,0.304137,,
2012-2013,Paper,and,cardboard,Other,paper,Construction,and,Demolition,0,0,0,0,1469.519582,0,,
2012-2013,Paper,and,cardboard,Other,paper,Municipal,Solid,Waste,51076,0,0,0,123655.306991,0.292311,,
2012-2013,Paper,and,cardboard,Printing,and,writing,paper,Commercial,and,Industrial,32415,0,0,0,74001.645262,0.304604
2012-2013,Paper,and,cardboard,Printing,and,writing,paper,Construction,and,Demolition,0,0,0,0,1501.54644,0
2012-2013,Paper,and,cardboard,Printing,and,writing,paper,Municipal,Solid,Waste,178,0,0,0,82549.984954,0.002151
2012-2013,Plastic,HDPE,(2),Commercial,and,Industrial,9858.8088938677,0,303.884942932382,0,49065.286201,0.171586,,,,
2012-2013,Plastic,HDPE,(2),Construction,and,Demolition,1530.86060049937,0,47.1867840454386,0,3927.402778,0.286633,,,,
2012-2013,Plastic,HDPE,(2),Municipal,Solid,Waste,32310.4738950825,0,995.928273022179,0,70344.883762,0.321331,,,,
2012-2013,Plastic,LDPE,(4),Commercial,and,Industrial,17782.0606512072,0,221.008869354753,0,36747.641128,0.328818,,,,
2012-2013,Plastic,LDPE,(4),Construction,and,Demolition,78.4628584588843,0,0.975195618465221,0,2941.443921,0.026296,,,,
2012-2013,Plastic,LDPE,(4),Municipal,Solid,Waste,19552.7179903339,0,243.015935026781,0,33552.925618,0.371063,,,,
2012-2013,Plastic,Other,plastics,(7),Commercial,and,Industrial,6516.50334263835,0,0,0,27569.762012,0.191176,,,
2012-2013,Plastic,Other,plastics,(7),Construction,and,Demolition,19.2257957146676,0,0,0,2105.831601,0.009047,,,
2012-2013,Plastic,Other,plastics,(7),Municipal,Solid,Waste,2384.32086164699,0,0,0,82957.689664,0.027938,,,
2012-2013,Plastic,PET,(1),Commercial,and,Industrial,2178.2366444556,0,0,0,20324.114367,0.0968,,,,
2012-2013,Plastic,PET,(1),Construction,and,Demolition,65.1503195682279,0,0,0,1626.832113,0.038505,,,,
2012-2013,Plastic,PET,(1),Municipal,Solid,Waste,25903.0618359762,0,0,0,46940.724042,0.355597,,,,
2012-2013,Plastic,PP,(5),Commercial,and,Industrial,10843.9707638201,0,187.290327621637,0,39416.464227,0.218667,,,,
2012-2013,Plastic,PP,(5),Construction,and,Demolition,37.921087231951,0,0.65494946511077,0,3155.068341,0.012079,,,,
2012-2013,Plastic,PP,(5),Municipal,Solid,Waste,12914.702668948,0,223.054722913252,0,35989.730273,0.267421,,,,
2012-2013,Plastic,PS,(6),Commercial,and,Industrial,2382.60416511768,0,169.515981602548,0,10264.704226,0.199122,,,,
2012-2013,Plastic,PS,(6),Construction,and,Demolition,758.437245997814,0,53.2761587132536,0,821.632381,0.496963,,,,
2012-2013,Plastic,PS,(6),Municipal,Solid,Waste,3002.1434688845,0,134.207859684198,0,9372.325592,0.250734,,,,
2012-2013,Plastic,PVC,(3),Commercial,and,Industrial,2277.82461508731,0,0,0,25867.054649,0.080932,,,,
2012-2013,Plastic,PVC,(3),Construction,and,Demolition,252.352201533775,0,0,0,2070.513599,0.108638,,,,
2012-2013,Plastic,PVC,(3),Municipal,Solid,Waste,1350.36009392936,0,0,0,23618.260491,0.054082,,,,
2012-2013,Textiles,Clothing,Commercial,and,Industrial,0,0,0,0,34446.338009,0,,,,,
2012-2013,Textiles,Clothing,Construction,and,Demolition,0,0,0,0,3326.4336,0,,,,,
2012-2013,Textiles,Clothing,Municipal,Solid,Waste,0,0,0,0,61297.444471,0,,,,,
2012-2013,Textiles,Other,textiles,Commercial,and,Industrial,320,0,0,0,52908.886898,0.006011,,,,
2012-2013,Textiles,Other,textiles,Construction,and,Demolition,0,0,0,0,5929.267343,0,,,,
2012-2013,Textiles,Other,textiles,Municipal,Solid,Waste,502.8,0,0,0,20071.992153,0.024437,,,,
2012-2013,Tyres,and,rubber,Other,rubber,Commercial,and,Industrial,8046,0,0,0,7407.760106,0.520649,,
2012-2013,Tyres,and,rubber,Other,rubber,Construction,and,Demolition,0,0,0,0,161.050469,0,,
2012-2013,Tyres,and,rubber,Other,rubber,Municipal,Solid,Waste,0,0,0,0,2408.191386,0,,
2012-2013,Tyres,and,rubber,Passenger,tyres,Commercial,and,Industrial,32510,0,0,0,806.34773,0.975797,,
2012-2013,Tyres,and,rubber,Passenger,tyres,Construction,and,Demolition,0,0,0,0,115.506616,0,,
2012-2013,Tyres,and,rubber,Passenger,tyres,Municipal,Solid,Waste,610,0,0,0,0,1,,
2013-2014,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,5426,0,0,0,2744.068757,0.664131,,,,,
2013-2014,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,222884,0,0,0,881.788658,0.996059,,,,,
2013-2014,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,4896,0,0,0,757.365664,0.866032,,,,,
2013-2014,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,5863,0,0,0,23499.773452,0.199674,,,,,
2013-2014,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,358949,0,0,0,24928.966972,0.93506,,,,,
2013-2014,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,2161,0,0,0,49746.508652,0.041631,,,,,
2013-2014,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,9131,0,0,0,27766.745333,0.247467,,,,,
2013-2014,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,1938259,0,0,0,22676.645687,0.988435,,,,,
2013-2014,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,16844,0,0,0,403.889653,0.976583,,,,,
2013-2014,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,33144,0,0,0,19383.007406,0.630989,,,,,
2013-2014,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,64,0,0,0,13478.886881,0.004725,,,,,
2013-2014,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,0,0,0,0,4485.991252,0,,,,,
2013-2014,"Aggregate, masonry and soils",Rubble,Commercial,and,Industrial,2649,0,0,0,12261.059912,0.177665,,,,,
2013-2014,"Aggregate, masonry and soils",Rubble,Construction,and,Demolition,261802,0,0,0,8580.386484,0.968265,,,,,
2013-2014,"Aggregate, masonry and soils",Rubble,Municipal,Solid,Waste,475,0,0,0,3030.24558,0.135511,,,,,
2013-2014,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,50230,0,0,0,93256.691872,0.350067,,
2013-2014,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,660312,0,0,0,639284.991828,0.508089,,
2013-2014,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,546,0,0,0,15790.496693,0.033422,,
2013-2014,Glass,Container,glass,Commercial,and,Industrial,37815,0,0,21.492091,24469.031746,0.607273,,,,
2013-2014,Glass,Container,glass,Construction,and,Demolition,2611,0,0,0.815212,592.960285,0.814976,,,,
2013-2014,Glass,Container,glass,Municipal,Solid,Waste,108743,0,0,574.315697,39702.905491,0.733573,,,,
2013-2014,Glass,Other,glass,Commercial,and,Industrial,0,0,0,0,12009.33733,0,,,,
2013-2014,Glass,Other,glass,Construction,and,Demolition,14588,0,0,0,2892.952902,0.834508,,,,
2013-2014,Glass,Other,glass,Municipal,Solid,Waste,0,0,0,0,39315.194361,0,,,,
2013-2014,Metals,Aluminium,Commercial,and,Industrial,28735,0,0,47.119902,15189.528873,0.65456,,,,,
2013-2014,Metals,Aluminium,Construction,and,Demolition,0,0,0,5.869879,3417.463387,0.001714,,,,,
2013-2014,Metals,Aluminium,Municipal,Solid,Waste,0,0,0,19.677219,21433.106805,0.000917,,,,,
2013-2014,Metals,Ferrous,Commercial,and,Industrial,637891,0,0,234233.795446,49369.332081,0.946424,,,,,
2013-2014,Metals,Ferrous,Construction,and,Demolition,56362,0,0,48408.596431,14634.041488,0.877441,,,,,
2013-2014,Metals,Ferrous,Municipal,Solid,Waste,224738.44,0,0,150154.874124,36003.29229,0.912378,,,,,
2013-2014,Metals,Other,metals,Commercial,and,Industrial,48393,0,0,8408.914668,0,1,,,,
2013-2014,Metals,Other,metals,Construction,and,Demolition,5344,0,0,629.687217,0,1,,,,
2013-2014,Metals,Other,metals,Municipal,Solid,Waste,12580,0,0,1298.498115,0,1,,,,
2013-2014,Organics,Food,organics,Commercial,and,Industrial,66890,0,0,5739.663219,215586.401143,0.251997,,,,
