financial_year,wpm_material_type,wpm_material_name,waste_stream,recycled,waste_to_energy,export_interstate,export_international,disposal,recovery_rate,,,,,,,
2006-2007,Glass,Other,glass,Construction,and,Demolition,0,0,0,0,0,,,,,
2006-2007,Glass,Other,glass,Municipal,Solid,Waste,703,0,0,0,0,1,,,,
2006-2007,Metals,Aluminium,Commercial,and,Industrial,13614,0,0,0,0,1,,,,,
2006-2007,Metals,Aluminium,Construction,and,Demolition,475,0,0,0,0,1,,,,,
2006-2007,Metals,Aluminium,Municipal,Solid,Waste,7978,0,0,0,0,1,,,,,
2006-2007,Metals,Ferrous,Commercial,and,Industrial,685788.8,0,0,0,0,1,,,,,
2006-2007,Metals,Ferrous,Construction,and,Demolition,102766,0,0,0,0,1,,,,,
2006-2007,Metals,Ferrous,Municipal,Solid,Waste,148842.2,0,0,0,0,1,,,,,
2006-2007,Metals,Other,metals,Commercial,and,Industrial,59578,0,0,0,0,1,,,,
2006-2007,Metals,Other,metals,Construction,and,Demolition,1821,0,0,0,0,1,,,,
2006-2007,Metals,Other,metals,Municipal,Solid,Waste,3452,0,0,0,0,1,,,,
2006-2007,Organics,Food,organics,Commercial,and,Industrial,48488,0,0,0,0,1,,,,
2006-2007,Organics,Food,organics,Construction,and,Demolition,0,0,0,0,0,,,,,
2006-2007,Organics,Food,organics,Municipal,Solid,Waste,95,0,0,0,0,1,,,,
2006-2007,Organics,Garden,organics,Commercial,and,Industrial,85463,0,0,0,0,1,,,,
2006-2007,Organics,Garden,organics,Construction,and,Demolition,4995,0,0,0,0,1,,,,
2006-2007,Organics,Garden,organics,Municipal,Solid,Waste,248900,0,0,0,0,1,,,,
2006-2007,Organics,Other,organics,Commercial,and,Industrial,0,0,0,0,0,,,,,
2006-2007,Organics,Other,organics,Construction,and,Demolition,0,0,0,0,0,,,,,
2006-2007,Organics,Other,organics,Municipal,Solid,Waste,0,0,0,0,0,,,,,
2006-2007,Organics,Wood,/timber,Commercial,and,Industrial,151285.5,0,0,0,0,1,,,,
2006-2007,Organics,Wood,/timber,Construction,and,Demolition,23090,0,0,0,0,1,,,,
2006-2007,Organics,Wood,/timber,Municipal,Solid,Waste,5036.5,0,0,0,0,1,,,,
2006-2007,Paper,and,cardboard,Cardboard,Commercial,and,Industrial,341888.3,0,0,0,0,1,,,
2006-2007,Paper,and,cardboard,Cardboard,Construction,and,Demolition,1199,0,0,0,0,1,,,
2006-2007,Paper,and,cardboard,Cardboard,Municipal,Solid,Waste,23831.7,0,0,0,0,1,,,
2006-2007,Paper,and,cardboard,Liquidpaperboard,Commercial,and,Industrial,1200,0,0,0,0,1,,,
2006-2007,Paper,and,cardboard,Liquidpaperboard,Construction,and,Demolition,0,0,0,0,0,,,,
2006-2007,Paper,and,cardboard,Liquidpaperboard,Municipal,Solid,Waste,0,0,0,0,0,,,,
2006-2007,Paper,and,cardboard,Newsprint,and,magazines,Commercial,and,Industrial,66259,0,0,0,0,1,
2006-2007,Paper,and,cardboard,Newsprint,and,magazines,Construction,and,Demolition,5663,0,0,0,0,1,
2006-2007,Paper,and,cardboard,Newsprint,and,magazines,Municipal,Solid,Waste,21879,0,0,0,0,1,
2006-2007,Paper,and,cardboard,Other,paper,Commercial,and,Industrial,700,0,0,0,0,1,,
2006-2007,Paper,and,cardboard,Other,paper,Construction,and,Demolition,288,0,0,0,0,1,,
2006-2007,Paper,and,cardboard,Other,paper,Municipal,Solid,Waste,135379,0,0,0,0,1,,
2006-2007,Paper,and,cardboard,Printing,and,writing,paper,Commercial,and,Industrial,55806,0,0,0,0,1
2006-2007,Paper,and,cardboard,Printing,and,writing,paper,Construction,and,Demolition,397,0,0,0,0,1
2006-2007,Paper,and,cardboard,Printing,and,writing,paper,Municipal,Solid,Waste,152,0,0,0,0,1
2006-2007,Textiles,Other,textiles,Commercial,and,Industrial,126,0,0,0,0,1,,,,
2006-2007,Textiles,Other,textiles,Construction,and,Demolition,0,0,0,0,0,,,,,
2006-2007,Textiles,Other,textiles,Municipal,Solid,Waste,2194,0,0,0,0,1,,,,
2006-2007,Tyres,and,rubber,Offroad,tyres,Commercial,and,Industrial,2630,0,0,0,0,1,,
2006-2007,Tyres,and,rubber,Offroad,tyres,Construction,and,Demolition,0,0,0,0,0,,,
2006-2007,Tyres,and,rubber,Offroad,tyres,Municipal,Solid,Waste,138,0,0,0,0,1,,
2006-2007,Tyres,and,rubber,Passenger,tyres,Commercial,and,Industrial,13552,0,0,0,0,1,,
2006-2007,Tyres,and,rubber,Passenger,tyres,Construction,and,Demolition,0,0,0,0,0,,,
2006-2007,Tyres,and,rubber,Passenger,tyres,Municipal,Solid,Waste,80,0,0,0,0,1,,
2006-2007,Tyres,and,rubber,Truck,tyres,Commercial,and,Industrial,8851,0,0,0,0,1,,
2006-2007,Tyres,and,rubber,Truck,tyres,Construction,and,Demolition,0,0,0,0,0,,,
2006-2007,Tyres,and,rubber,Truck,tyres,Municipal,Solid,Waste,782,0,0,0,0,1,,
2007-2008,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,5420,0,0,0,3927.883512,0.57981,,,,,
2007-2008,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,121042,0,0,0,975.336236,0.992006,,,,,
